longueur d'onde;nitrate de baryum;chlorure de cuivre(II);chlorure de sodium
nm;1u = 3lux;1u = 3lux;1u = 3lux
365,089;24,7668;1031,13;1031,13
365,089;29,7874;2492,58;2492,58
365,089;29,07;94,205;94,205
365,089;29,729;1817,32;1817,32
365,089;34,73;155,435;155,435
365,089;42,202;1245,24;1245,24
365,089;43,859;1078,08;1078,08
365,089;0;1259,04;1259,04
365,089;43,692;2286,3;2286,3
365,089;8,822;800,728;800,728
365,089;30,876;1217,65;1217,65
365,089;4,193;96,283;96,283
365,089;31,862;1964,61;1964,61
365,089;15,049;1034,99;1034,99
365,089;27,228;179,663;179,663
365,089;25,943;709,24;709,24
365,089;6,564;157,263;157,263
365,089;40,852;461,72;461,72
365,089;46,424;205,295;205,295
365,089;47,206;204,268;204,268
365,089;0;699,181;699,181
365,089;26,029;1657,02;1657,02
365,089;20,578;164,623;164,623
365,089;41,679;2404,21;2404,21
365,089;40,621;1303,91;1303,91
365,089;32,327;149,359;149,359
365,089;30,2;157,493;157,493
365,089;46,694;1094,67;1094,67
365,089;26,504;134,485;134,485
365,089;10,281;822,27;822,27
365,089;1,795;2021,52;2021,52
365,089;34,223;212,38;212,38
365,089;20,413;1139,94;1139,94
365,089;10,489;1043,86;1043,86
365,089;27,98;1583,79;1583,79
365,089;10,243;1202,28;1202,28
365,089;47,756;1190,25;1190,25
365,089;28,935;172,955;172,955
365,089;18,964;1358,43;1358,43
365,089;30,315;214,312;214,312
365,089;21,756;148,698;148,698
365,089;18,372;149,864;149,864
365,089;16,23;1367,41;1367,41
365,089;7,205;1172,46;1172,46
365,089;39,714;175,558;175,558
365,089;32,466;1309,54;1309,54
365,089;23,874;2288,48;2288,48
365,089;38,923;203,038;203,038
365,089;9,705;1489,78;1489,78
365,089;8,004;140,273;140,273
365,089;31,622;1013,91;1013,91
365,089;12,111;188,851;188,851
365,089;45,841;3682,84;3682,84
365,089;2,42;173,263;173,263
365,089;16,701;2217,26;2217,26
365,089;21,948;3532,68;3532,68
365,089;40,097;1121,31;1121,31
365,089;11,928;888,634;888,634
365,089;31,978;211,604;211,604
365,089;0,796;144,782;144,782
365,089;29,129;192,32;192,32
365,089;29,171;873,969;873,969
365,089;42,68;142,169;142,169
365,089;13,168;1441,74;1441,74
365,089;23,175;1813,28;1813,28
365,089;6,207;153,194;153,194
365,089;26,575;1980,46;1980,46
365,089;23,832;1345,94;1345,94
365,089;30,264;1589,84;1589,84
365,089;25,262;2277,53;2277,53
365,089;47,356;1682,75;1682,75
365,089;12,983;102,759;102,759
365,089;20,821;2361,56;2361,56
365,089;57,539;1321,16;1321,16
365,089;25,367;1858,46;1858,46
365,089;21,127;132,753;132,753
365,089;34,748;1815,71;1815,71
365,089;16,237;131,55;131,55
365,089;16,789;1678,53;1678,53
365,089;34,251;2967,39;2967,39
365,089;0;701,42;701,42
365,089;32,618;1835,32;1835,32
365,089;16,007;2450,67;2450,67
365,089;33,449;1476,47;1476,47
365,089;30,186;1661,73;1661,73
365,089;10,606;1690,25;1690,25
365,089;21,951;1230,32;1230,32
365,089;18,607;751,96;751,96
365,089;22,632;1349,17;1349,17
365,089;28,958;1381,13;1381,13
365,089;32,14;217,403;217,403
365,089;11,742;1459,33;1459,33
365,089;12,575;923,31;923,31
365,089;34,989;1524,36;1524,36
365,089;17,958;509,225;509,225
365,089;25,09;130,137;130,137
365,089;20,792;1184,23;1184,23
365,089;12,304;1192,69;1192,69
365,089;28,891;995,669;995,669
365,089;10,243;1052,64;1052,64
365,089;44,083;1016,59;1016,59
365,089;31,912;1506,08;1506,08
365,089;53,448;1231,35;1231,35
365,089;18,262;976,273;976,273
365,089;30,855;954,831;954,831
365,089;49,34;2827,44;2827,44
365,089;27,202;2082,01;2082,01
365,089;4,524;1209,19;1209,19
365,089;19,759;612,787;612,787
365,089;25,283;2032;2032
365,089;9,248;1262,71;1262,71
365,089;5,556;2332,3;2332,3
365,089;36,27;1078,81;1078,81
365,089;33,959;645,546;645,546
365,089;17,263;721,976;721,976
365,089;4,316;815,003;815,003
365,089;27,408;894,918;894,918
365,089;37,075;1831,13;1831,13
365,089;31,868;925,762;925,762
365,089;10,843;712,693;712,693
365,089;18,766;1885,61;1885,61
365,089;11,111;747,945;747,945
365,089;42,549;2538,95;2538,95
365,089;26,683;3070,18;3070,18
365,089;22,294;864,602;864,602
365,089;39,728;1081,37;1081,37
365,089;40,695;1111,27;1111,27
387,111;42,215;940,362;940,362
387,285;20,37;1013,24;1013,24
387,458;34,239;1504,16;1504,16
387,632;23,969;840,746;840,746
387,805;19,857;1372;1372
387,978;33,537;2372,33;2372,33
388,152;26,187;926,268;926,268
388,325;14,707;1045,51;1045,51
388,498;23,463;860,886;860,886
388,672;30,884;1550,89;1550,89
388,845;35,637;689,711;689,711
389,018;22,16;778,751;778,751
389,192;34,501;963,432;963,432
389,365;26,798;1147,54;1147,54
389,538;36,83;1289,7;1289,7
389,712;29,264;963,139;963,139
389,885;26,576;902,527;902,527
390,058;15,743;1074,99;1074,99
390,232;29,329;723,066;723,066
390,405;25,361;1157,32;1157,32
390,578;40,936;2331,29;2331,29
390,752;19,493;1072,92;1072,92
390,925;33,882;919,735;919,735
391,098;15,829;856,994;856,994
391,272;43,255;759,596;759,596
391,445;28,611;1317,56;1317,56
391,619;28,041;989,375;989,375
391,792;47,409;1249,71;1249,71
391,965;32,846;816,932;816,932
392,139;26,181;1101,55;1101,55
392,312;27,305;550,394;550,394
392,485;20,983;1506,76;1506,76
392,659;12,673;657,972;657,972
392,832;49,325;955,229;955,229
393,005;59,852;1407,73;1407,73
393,179;36,653;1231,43;1231,43
393,352;21,218;1059,84;1059,84
393,525;24,755;1105,64;1105,64
393,699;32,387;712,683;712,683
393,872;20,132;1213,09;1213,09
394,045;21,409;666,573;666,573
394,219;21,979;1009,85;1009,85
394,392;16,122;792,552;792,552
394,565;30,069;728,486;728,486
394,738;30,968;933,227;933,227
394,912;21,723;1281,14;1281,14
395,085;34,531;1069,45;1069,45
395,258;33,416;1322,92;1322,92
395,432;11,412;680,293;680,293
395,605;22,318;1126,05;1126,05
395,778;26,661;941,335;941,335
395,952;33,861;782,675;782,675
396,125;21,919;1142,05;1142,05
396,298;39,745;839,007;839,007
396,472;13,73;738,083;738,083
396,645;31,354;596,777;596,777
396,818;52,678;712,619;712,619
396,992;37,895;628,125;628,125
397,165;28,867;697,232;697,232
397,338;24,206;868,218;868,218
397,512;23,088;860,333;860,333
397,685;23,453;899,424;899,424
397,858;32,52;1177,84;1177,84
398,032;39,491;1268,44;1268,44
398,205;24,51;772,263;772,263
398,378;23,583;891,454;891,454
398,551;40,566;967,768;967,768
398,725;0;916,771;916,771
398,898;31,488;916,727;916,727
399,071;30,61;1094,98;1094,98
399,245;37,371;749,015;749,015
399,418;12,879;735,513;735,513
399,591;27,382;699,226;699,226
399,765;25,205;1143,2;1143,2
399,938;34,79;1198,22;1198,22
400,111;39,381;1061,09;1061,09
400,285;17,518;787,101;787,101
400,458;52,335;879,987;879,987
400,631;32,455;581,067;581,067
400,804;20,387;716,524;716,524
400,978;10,722;993,627;993,627
